รหัส,บริเวณลุ่มแม่น้ำ,อำเภอ,ตำบล,หน่วยงานเจ้าของ,ประเภทอุปกรณ์,ชื่ออุปกรณ์,สถานะ,ยี่ห้อ,ทะเบียนรถ,ตำแหน่ง LAT,ตำแหน่ง LONG,วันที่ใช้งาน,เบอร์ติดต่อ,หมายเหตุ
FP-001,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,รถบรรทุกเทท้าย ขนาด 6 ตัน 6 ล้อ,พร้อมปฏิบัติงาน,อีซูซุ,81-8180,19.92889724,99.86702973,6/3/2026,053-175313,
FP-002,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตัก,พร้อมปฏิบัติงาน,LIUGONG,ตฒ-2295,19.92889724,99.86702973,30/4/2026,053-175313,
FP-003,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,รถบรรทุกเทท้าย ขนาด 6 ตัน 6 ล้อ,พร้อมปฏิบัติงาน,อีซูซุ,81-8178,19.92889724,99.86702973,30/4/2026,053-175313,
FP-004,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตักตีนตะขาบ,พร้อมปฏิบัติงาน,โคมัตสุ PC120,ต-1001,19.92889724,99.86702973,30/4/2026,053-175313,
FP-005,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตักตีนตะขาบ,พร้อมปฏิบัติงาน,โคมัตสุ,ตค-741,19.92889724,99.86702973,30/4/2026,053-175313,
FP-006,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถยนต์ 4 ล้อ,รถตรวจการ,พร้อมปฏิบัติงาน,ฟรอด์,กร 7568,19.92889724,99.86702973,30/4/2026,0948687011,
FP-007,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถขนย้าย,รถหัวลาก,ไม่ทราบสถานะ,UD TRUCK,82-2218,19.92889724,99.86702973,30/4/2026,053-175313,
FP-008,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,รถบรรทุกเทท้าย,พร้อมปฏิบัติงาน,มิตซูบิชิ,80-9245,19.92889724,99.86702973,30/4/2026,053-175313,
FP-009,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกน้ำ,"รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,อีซูซุ,บม-9980,19.92889724,99.86702973,30/4/2026,053-175313,
FP-010,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตักหน้าขุดหลัง,พร้อมปฏิบัติงาน,โคมัตสุ,ตค-742,19.92889724,99.86702973,30/4/2026,053-175313,
